id,school,subject,title,prompt,description,elements,
es-seikatsu-01,elementary,生活,町探検の計画を立てる,"あなたは小学校2年生の担任です。
生活科の「町たんけん」の授業計画を立てています。
学校の周りにあるお店（パン屋、八百屋など）を探検する計画案を作成してください。
安全に探検するための注意点、インタビューするときの質問例、探検後のまとめ方（絵地図づくりなど）を盛り込んでください。",体験学習の計画を具体的に立てられます。,"人物,内容",
es-seikatsu-02,elementary,生活,生き物観察の視点を教える,"あなたは小学校1年生の担任です。
生活科で、学校の校庭にいる虫や草花などの生き物を観察する活動をします。
児童が生き物を「見つける」だけでなく、「面白さ」を発見できるように、どのような視点で観察すればよいか、やさしい言葉で教えてください。
例：「どこにいるかな？」「どんな形かな？」「どんな色かな？」",低学年の児童に、科学的な観察の第一歩となる「視点」を分かりやすく教えることができます。,"人物,内容,形式や語調,例",
es-seikatsu-03,elementary,生活,昔の遊びを体験する授業計画,"あなたは小学校の教員です。
生活科で、地域の老人会の方々をゲストティーチャーとしてお招きし、「昔の遊び（けん玉、お手玉、あやとりなど）」を教えてもらう交流会を計画しています。
会の流れ（始めの挨拶、遊びの時間、お礼の言葉など）と、児童への事前指導の内容を具体的に作成してください。",世代間交流を目的とした活動の計画をスムーズに立てることができます。,"人物,内容",
es-ongaku-01,elementary,音楽,「魔王」の鑑賞授業の導入部分を作成,"私は小学校6年生の音楽担当です。
シューベルト作曲の「魔王」の鑑賞授業を行います。
児童が曲の世界に入り込めるように、物語の背景や登場人物（語り手、父、子、魔王）について、わくわくするような語り口で説明する導入部分のシナリオを作成してください。
時間は5分程度でお願いします。",鑑賞授業で児童の興味を引きつけるための導入シナリオを作成します。,"人物,内容,形式や語調,制約",
es-ongaku-02,elementary,音楽,リズム遊びのアイデア,"あなたは小学校低学年の音楽担当です。
身近な物の名前（例：りんご、みかん、ばなな）を使って、リズム打ち遊びをするアイデアを3つ提案してください。
手拍子だけでなく、足踏みや楽器（タンバリン、すずなど）を使った活動も取り入れてください。",児童が言葉とリズムを結びつけながら、楽しく音楽の基礎を学べるアクティビティです。,"人物,内容,例",
es-ongaku-03,elementary,音楽,日本の民謡について解説する,"あなたは音楽の専門家として、小学校5年生に日本の民謡「ソーラン節」の魅力を解説します。
「ソーラン節」がどのような場面で歌われてきた歌なのか、その歌詞やリズムにはどのような意味が込められているのかを、小学生にも分かりやすく説明してください。",伝統音楽の背景知識を分かりやすく解説し、児童の文化理解を深める手助けをします。,"人物,内容,形式や語調",
es-zugakousaku-01,elementary,図画工作,自画像の鑑賞文を作成する,"あなたは美術評論家です。小学校4年生の児童が描いた自画像の作品について、良い点を見つけて褒める鑑賞文を作成してください。
以下の特徴を持つ作品です。
・背景が虹色で塗られている
・自分の笑顔を力強い線で描いている
・服の模様を細かく描き込んでいる
専門用語は使わず、児童の創作意欲が高まるような、あたたかい言葉で記述してください。",児童一人ひとりの作品の良さを見つけ、自信を持たせるためのコメントを作成します。,"人物,内容,形式や語調",
es-zugakousaku-02,elementary,図画工作,共同制作のテーマを提案する,"あなたは小学校の図工担当教員です。6年生の卒業制作として、クラス全員で取り組む共同制作を計画しています。
「未来の〇〇」をテーマにした、創造性を刺激するような制作アイデアを3つ提案してください。
例：「未来の学校」「未来の町」「未来の生き物」
それぞれのアイデアについて、使用する材料や制作の進め方も簡単に示してください。",クラスの一体感を高める共同制作の活動アイデアを得られます。,"人物,内容,例",
es-zugakousaku-03,elementary,図画工作,粘土作品の作り方を説明する,"あなたは図工の先生です。小学校1年生に、紙粘土で「すきな動物」を作る方法を説明します。
「まるめる」「のばす」「くっつける」などの基本的な技法を使いながら、ライオンを作る手順を、子供向けのやさしい言葉で、手順ごとに番号を振って説明してください。",低学年の児童にも分かりやすい、具体的な制作手順を作成できます。,"人物,内容,形式や語調",
es-katei-01,elementary,家庭,調理実習の計画案を作成する,"あなたは小学校5年生の家庭科担当教員です。
「ゆで野菜サラダ」を作る調理実習の計画案（45分授業）を作成してください。
「めあて」「準備物」「手順」「片付け」「安全上の注意」の項目を含めて、表形式でまとめてください。",調理実習の段取りや注意点を整理した、分かりやすい計画案を作成できます。,"人物,内容,形式や語調,制約",
es-katei-02,elementary,家庭,整理整頓を促す声かけを考える,"あなたは小学校の教員です。家庭科の授業で「整理整頓」について学習します。
児童が自分の身の回りの整理整頓を、家庭で実践したくなるような、効果的な声かけの言葉を5つ考えてください。
「片付けなさい」という命令口調ではなく、児童の自主性を引き出すようなポジティブな表現にしてください。",児童のやる気を引き出す、教育的な声かけのバリエーションを増やせます。,"人物,内容,形式や語調",
es-katei-03,elementary,家庭,買い物ゲームのシナリオ作成,"あなたは小学校の家庭科担当教員です。5年生を対象に、予算内で献立に必要な材料を買う「買い物ゲーム」を実施します。
「カレーライス」を作る設定で、予算1,000円で4人分の材料を買い揃えるというシナリオを作成してください。
品物のリストと架空の値段表も作成してください。",お金の使い方や計画的な買い物を楽しく学べる、シミュレーション学習の教材を作成できます。,"人物,内容,制約",
es-taiiku-01,elementary,体育,準備運動のメニューを作成する,"あなたは体育の専門家です。小学校中学年の児童向けの、楽しくて怪我予防にもなる準備運動のメニューを作成してください。
5分程度で完了する内容で、動物の動きを真似するような、遊びの要素を取り入れた動きを5つ提案してください。",児童が意欲的に取り組める、楽しい準備運動のアイデアを得られます。,"人物,内容,制約",
es-taiiku-02,elementary,体育,球技が苦手な子への指導法,"あなたはベテランの体育教員です。
ドッジボールが苦手で、ボールを怖がってしまう小学校3年生の児童がいます。
その児童が、少しずつボールに慣れ、楽しめるようになるための段階的な指導ステップを3段階で提案してください。具体的な声かけの例も示してください。",運動が苦手な児童に寄り添い、個々のペースに合わせた指導法を考えられます。,"人物,内容,形式や語調",
es-taiiku-03,elementary,体育,体力テストの結果を分析し、コメントを作成する,"あなたは小学校の担任です。児童の体力テストの結果を分析し、保護者向けの連絡帳に記入するコメントの文例を作成してください。
以下の結果の児童を想定してください。
・A子さん：シャトルランの記録が伸びたが、柔軟性が課題。
ポジティブな側面を強調しつつ、家庭でできる簡単なストレッチなどを提案する形で、2つの文例を作成してください。",個々の児童の体力面の成長と課題を、保護者に分かりやすく伝えるための文例を作成できます。,"人物,内容,形式や語調",
es-doutoku-01,elementary,道徳,道徳の授業での発問を作成する,"あなたはベテランの小学校教員です。
友情をテーマにした道徳の授業（教材：「泣いた赤おに」）で、児童の考えを深めるための中心発問を3つ作成してください。
「登場人物の気持ち」を問うだけでなく、「自分ならどうするか」を考えさせるような、多角的な視点からの発問にしてください。",児童の多面的・多角的な思考を促す、質の高い発問を作成できます。,"人物,内容",
es-doutoku-02,elementary,道徳,「係活動」の価値を伝える話,"あなたは小学校の担任です。学級会で、係活動に意欲的でない児童に向けて、その大切さを伝える話をします。
「係の仕事は、誰かのために役立つことであり、クラスをより良くするために不可欠である」ということを、低学年にも分かるような、たとえ話を交えて説明するシナリオを作成してください。",児童に当事者意識を持たせ、学級活動への主体的な参加を促すための話を作成できます。,"人物,内容,形式や語調",
es-doutoku-03,elementary,道徳,いじめ防止の標語を考える,"あなたは小学校の教員です。
いじめ防止キャンペーンで使う標語のアイデアを、児童と一緒に考えるためのワークシートを作成します。
「ふわふわ言葉（言われて嬉しい言葉）」と「ちくちく言葉（言われて悲しい言葉）」の例を挙げ、それをもとに標語を作るという構成で、児童がアイデアを出しやすいようなワークシートの案を作成してください。",児童が自分たちの言葉でいじめについて考え、主体的に行動するきっかけを作ります。,"人物,内容,形式や語調",
es-sogo-01,elementary,総合,福祉体験学習の事前指導案,"あなたは小学校4年生の担任です。総合的な学習の時間で、地域の高齢者施設を訪問し、交流する活動を行います。
訪問前に、児童が高齢者との関わり方を学べるような事前指導（45分）の計画案を作成してください。
「高齢者とは？」「どのようなことに困っているだろう？」「私たちにできることは？」といったテーマで、児童の考えを引き出す発問を中心に構成してください。",体験活動がより有意義なものになるよう、目的意識を高めるための事前指導を計画できます。,"人物,内容",
es-sogo-02,elementary,総合,地域の安全マップ作りの計画,"あなたは小学校3年生の担任です。総合的な学習の時間で、自分たちが住む地域の「安全マップ」を作成する活動を計画しています。
10時間程度の単元計画案を表形式で作成してください。
「調べる」「まとめる」「発表する」の各段階で、どのような活動を行うか、具体的な内容を示してください。",探究的な学習活動の全体像を捉え、見通しを持った指導計画を作成できます。,"人物,内容,形式や語調,制約",
es-sogo-03,elementary,総合,国際理解教育の導入クイズ作成,"あなたは小学校6年生の担任です。総合的な学習の時間で「世界とつながる私たち」をテーマに学習します。
世界の様々な文化に興味を持たせるための導入として使える「世界のあいさつクイズ」を5問作成してください。
児童が楽しめるように、ヒントや豆知識も加えてください。",児童の知的好奇心を刺激し、学習テーマへの関心を高める導入教材を作成できます。,"人物,内容",
es-tokkatsu-01,elementary,特別活動,学級会の議題を提案する,"あなたは小学校5年生の担任です。
「クラスの絆を深めるために、新しいイベントを企画しよう」というテーマで学級会を行います。
児童から活発な意見が出るように、議題提案の際の導入の言葉と、具体的なイベントのアイデア例（例：クラス球技大会、お楽しみ会など）を3つ、それぞれのメリット・デメリットを添えて作成してください。",学級会を活性化させ、児童の自主的な活動を促すためのたたき台を作成できます。,"人物,内容,形式や語調",
es-tokkatsu-02,elementary,特別活動,1年生を迎える会のシナリオ作成,"あなたは児童会の担当教員です。
「1年生を迎える会」の司会進行シナリオを作成してください。
開会の言葉、学校紹介クイズ、プレゼント贈呈、6年生代表の言葉、校歌斉唱、閉会の言葉など、会の流れに沿って、それぞれの場面で司会が話すセリフを作成してください。
親しみやすく、かつ全校児童に分かりやすい言葉遣いを心がけてください。",学校行事の司会進行シナリオを効率的に作成し、当日のスムーズな運営をサポートします。,"人物,内容,形式や語調",
es-tokkatsu-03,elementary,特別活動,給食当番の仕事ポスターを作成する,"あなたは小学校の教員です。給食当番の仕事の手順を、低学年の児童にも分かりやすく示すためのポスターの文案を作成してください。
「準備」「配膳」「後片付け」の3つのステップに分け、それぞれのステップでやることを、短い言葉とイラスト（例：[白衣を着るイラスト]）で表現する形式で作成してください。",当番活動の手順を視覚的に示し、児童の責任感と自主性を育むための掲示物を作成できます。,"人物,内容,形式や語調",
es-gaikokugo-01,elementary,外国語,英語での自己紹介カードのテンプレート作成,"あなたは小学校6年生の外国語担当です。
児童が英語で自己紹介をするためのワークシートを作成してください。
「Name」「From」「I like ~.」の3つの項目について、自分の情報を書き込めるようにし、書き方の例も示してください。
児童が楽しく取り組めるように、好きなものの絵を描くスペースも設けてください。",外国語活動の基本的な表現を定着させるためのワークシートを簡単に作成できます。,"人物,内容,形式や語調",
es-gaikokugo-02,elementary,外国語,外国語活動のチャンツを考える,"あなたは小学校中学年の外国語担当です。
曜日（Monday, Tuesday, etc.）を覚えるための、楽しいリズムのチャンツ（短い歌）の歌詞を考えてください。
手拍子をしながら、繰り返して言えるような、シンプルで覚えやすいフレーズにしてください。",児童が遊び感覚で英単語に親しめる、リズミカルな教材を作成できます。,"人物,内容",
es-gaikokugo-03,elementary,外国語,ALTとのティームティーチング授業計画,"あなたは小学校5年生の担任です。
ALT（外国語指導助手）と行うティームティーチングの授業（45分）の計画案を作成してください。
単元は「What do you want?」で、お店でのやり取りを扱います。
導入（担任）、展開（ALT中心の活動）、まとめ（担任とALT）など、それぞれの役割分担を明確にした指導案を表形式で作成してください。",ALTとの連携をスムーズにし、効果的なティームティーチングの授業を計画できます。,"人物,内容,形式や語調",
jhs-komu-01,junior-high,校務,生徒との教育相談（面談）の記録を作成する,"あなたは中学校の学級担任です。生徒との定期教育相談を行いました。以下の内容を客観的な事実と、教員の所見に分けて記録としてまとめてください。

# 相談内容
・生徒の氏名：[生徒氏名]
・相談日：[相談日]
・生徒の話した内容：
 - 最近、部活動の練習が厳しく、勉強との両立に悩んでいる。
 - 特に数学の授業についていけなくなりつつあると感じている。
 - 将来は漠然とスポーツに関わる仕事がしたいと思っているが、具体的な進路は決まっていない。

# 指導・助言
 - 部活動の顧問と連携し、練習時間の調整が可能か相談することを提案。
 - 数学の放課後補習への参加を促した。

# 形式
・公式な記録文書として、簡潔かつ明確に記述する。
・「生徒の状況」「課題」「今後の対応」の3つの項目で構成する。",生徒一人ひとりとの面談内容を構造化して記録し、継続的な指導や学年での情報共有に役立てます。,"人物,内容,形式や語調",
jhs-komu-02,junior-high,校務,保護者会資料の作成,"あなたは中学校2学年の学年主任です。
来週開催される保護者会で使用する資料のたたき台を作成してください。
内容は以下の通りです。
1. 最近の生徒たちの学校での様子（学習面・生活面）
2. 今後の主な行事予定（職場体験、合唱コンクール）
3. 家庭での学習習慣の確立に向けたお願い
4. その他（欠席連絡のデジタル化について）
保護者に伝わりやすいように、丁寧な言葉遣いで、各項目を箇条書きでまとめてください。",保護者会資料の構成案を素早く作成し、準備の時間を短縮します。,"人物,内容,形式や語調",
jhs-komu-03,junior-high,校務,校務分掌の改善案を提案する,"あなたは中学校の教務主任です。
現在の校務分掌において、特定の教員に業務が偏っているという課題があります。
業務内容を平準化し、全教員で協力して学校運営に取り組むための改善案を3つ提案してください。
「タスクの可視化」「ICTツールの活用」「定期的な見直し会議の設置」などの観点から、具体的な提案をお願いします。",教員の働き方改革に繋がり、より効率的な学校運営を目指すための具体的な改善策を立案します。,"人物,内容,制約",
jhs-kokugo-01,junior-high,国語,古典作品の面白さを現代語で語る,"あなたは国語の先生です。中学2年生の生徒に、古典作品『枕草子』の面白さを伝えるための導入トークを作成してください。
「春はあけぼの」の一節を引用し、清少納言がどのような視点で日常を切り取っていたのか、その感性の鋭さを、現代の高校生の日常（例：スマホで綺麗な写真を撮る感覚）にたとえながら、親しみやすい口調で説明してください。",古典への苦手意識をなくし、生徒が作品の世界に興味を持つきっかけを作ります。,"人物,内容,形式や語調,例",
jhs-kokugo-02,junior-high,国語,ビブリオバトルの活動計画を作成する,"あなたは中学校の国語科教員です。
読書活動の活性化のため、中学1年生を対象にビブリオバトル（書評合戦）を企画しています。
授業3時間を使った活動計画案を表形式で作成してください。
1時間目：ルール説明と準備、2時間目：クラス内予選、3時間目：クラス代表戦、のように、各時間の活動内容、生徒への指示、評価の観点を具体的に示してください。",生徒の「読む・書く・話す・聞く」能力を総合的に育む、主体的な読書活動を計画できます。,"人物,内容,形式や語調,制約",
jhs-kokugo-03,junior-high,国語,意見文の書き方ワークシートを作成する,"あなたは中学校の国語科教員です。
「校則」をテーマに意見文を書く授業を行います。
生徒が論理的な文章を構成できるように、「主張」「理由・根拠」「反対意見への言及」「結論」の4つの要素を書き込む形式のワークシートを作成してください。
各要素で何を書くべきか、簡単な説明も加えてください。",意見文の基本的な構造を学ばせ、生徒の論理的思考力と文章構成能力を養います。,"人物,内容,形式や語調",
jhs-sugaku-01,junior-high,数学,1次関数のレベル別確認テスト作成,"私は、中学校で数学科の教員です。
1次関数のグラフについて授業を行うときの、確認テストの問題、解答、解説を作成してください。
中学1年生でも親しみやすい表現で作成してください。
時間としては10分ほどです。
難易度を3段階に分けてそれぞれ5問ずつ作成してください。
例：1次関数 y=-3x+6 のグラフとx軸、y軸との交点をそれぞれ求めなさい。",生徒の習熟度に合わせたレベル別の問題を作成できます。,"人物,内容,形式や語調,制約,例",
jhs-sugaku-02,junior-high,数学,数学の面白さを伝える導入,"あなたは中学校の数学科教員です。
図形の「合同」の単元の導入で、生徒が数学の面白さを感じられるような話を紹介してください。
身の回りにある合同な図形（例：タイルの模様、工業製品など）を取り上げ、なぜ合同であることが重要なのかを、対話形式で分かりやすく説明してください。",数学と実社会との繋がりを示し、生徒の学習意欲を引き出す導入を作成できます。,"人物,内容,形式や語調,例",
jhs-sugaku-03,junior-high,数学,証明問題の穴埋めプリント作成,"あなたは中学校の数学科教員です。
「三角形の合同条件」を使った証明問題で、生徒がつまずきやすい部分をサポートするための穴埋め形式の練習プリントを作成してください。
基本的な問題を3問用意し、「仮定」「結論」「証明の根拠」を意識させるような構成にしてください。",証明問題が苦手な生徒の思考を助け、論理的な思考プロセスを定着させるための教材を作成できます。,"人物,内容,形式や語調",
jhs-rika-01,junior-high,理科,化学反応式の練習問題を作成する,"あなたは中学校の理科教員です。
中学2年生で学習する「化学反応式」の練習問題を作成してください。
難易度を「基本」「標準」「応用」の3段階に分け、各レベル3問ずつ、合計9問作成してください。
解答も必ずつけてください。
例：（基本）水素と酸素が反応して水ができる化学反応式を書きなさい。",生徒の習熟度に応じた多様な練習問題を提供し、化学反応式の定着を図ります。,"人物,内容,制約,例",
jhs-rika-02,junior-high,理科,実験の考察を深めるための発問,"あなたは中学校の理科教員です。「唾液の働き」を調べる実験の後、生徒に考察を書かせます。
実験結果から一歩踏み込んで、科学的に思考させるための発問を3つ作成してください。
「なぜその結果になったのか？」「もし〇〇だったら、結果はどう変わるか？」「この実験から、日常生活のどんなことと結びつけられるか？」といった観点でお願いします。",実験を「やるだけ」で終わらせず、結果を多角的に分析・考察する力を養います。,"人物,内容",
jhs-rika-03,junior-high,理科,最新の科学ニュースを解説する,"あなたは科学コミュニケーターです。
最新の科学ニュース（例：ブラックホールの撮影成功、新しいワクチンの開発など）の中から一つ選び、その内容と意義を、科学に興味がない中学生にも分かるように、ユーモアを交えて解説してください。
専門用語は避け、身近なものに例えながら説明してください。",生徒の科学への関心を高め、科学的リテラシーを育むための教材を作成できます。,"人物,内容,形式や語調,例",
jhs-shakai-01,junior-high,社会,歴史上の出来事についてディベートのテーマを作成,"あなたは中学校の社会科教員です。
歴史の授業で「織田信長の政策は、民衆にとって良かったのか？」というテーマでディベートを行います。
肯定側（良かった）と否定側（良くなかった）のそれぞれの立場から主張できる論点を、3つずつ箇条書きで示してください。",歴史的な出来事を多角的に捉え、生徒の批判的思考力を養うディベート活動の準備ができます。,"人物,内容",
jhs-shakai-02,junior-high,社会,地理の白地図活用ワークシート作成,"あなたは中学校の地理担当教員です。
日本の気候区分の学習で活用する、白地図を使ったワークシートを作成してください。
日本の白地図を提示し、6つの気候区分（北海道、太平洋側、日本海側、内陸性、瀬戸内、南西諸島）を色分けさせる指示を出してください。
また、各気候区分の特徴を簡潔にまとめる欄も設けてください。",知識の暗記だけでなく、空間的な認識を伴った地理学習を促す教材を作成できます。,"人物,内容,形式や語調",
jhs-shakai-03,junior-high,社会,公民分野の模擬裁判シナリオ作成,"あなたは中学校の公民担当教員です。
「三権分立」の学習の一環として、模擬裁判を行います。
「スマートフォンのながら運転による物損事故」を題材とした、簡単な裁判のシナリオを作成してください。
登場人物は「裁判官」「検察官」「弁護人」「被告人」「証人」とし、それぞれのセリフの骨子を記述してください。",複雑な社会の仕組みを、ロールプレイングを通して体験的に学ぶための教材を作成できます。,"人物,内容",
jhs-eigo-01,junior-high,英語,英語で自己紹介スピーチの原稿作成,"あなたは中学校の英語教員です。
中学1年生が、ALTの先生に向けて1分程度の自己紹介スピーチをするための、穴埋め形式の原稿テンプレートを作成してください。
「My name is __.」「I like __.」「I want to be a __.」など、基本的な構文を使い、生徒が自分の言葉で埋められるようにしてください。
3つのレベル（基本、標準、挑戦）で文例を提示してください。",英語での発表が初めての生徒でも、安心して取り組めるスピーチ原稿のひな形を作成します。,"人物,内容,形式や語調,制約",
jhs-eigo-02,junior-high,英語,現在完了形の導入アクティビティ,"あなたは中学校の英語教員です。
中学2年生に「現在完了形（経験）」を導入する際に使える、楽しいペアワークのアクティビティを考えてください。
「Have you ever ~?」の形で質問し合い、ビンゴカードを埋めていく「経験ビンゴ」ゲームのルールと、ビンゴカードのマス目に入れるお題（例：seen a famous person, visited a foreign country）を9つ提案してください。",新しい文法項目を、ゲーム形式のアクティビティを通して楽しく、コミュニケーションの中で学ぶことができます。,"人物,内容,例",
jhs-eigo-03,junior-high,英語,英字新聞記事の読解プリント作成,"あなたは中学校の英語教員です。
生徒の読解力を高めるため、短い英字新聞の記事（やさしいレベル）を使ったワークシートを作成します。
以下の指示を含んだワークシートを作成してください。
1. 記事を読んで、タイトルを日本語でつけなさい。
2. Who, When, Where, What, Why を英語で抜き出しなさい。
3. 本文の内容と合うものにはT、合わないものにはFを書きなさい。
4. あなたはこのニュースについてどう思いますか？英語で一文書きなさい。",インプット（読む）とアウトプット（書く）を組み合わせ、読解力と思考力を同時に鍛える教材を作成できます。,"人物,内容",
jhs-bijutsu-01,junior-high,美術,ピカソの「ゲルニカ」の鑑賞授業導入,"あなたは中学校の美術教員です。
ピカソの「ゲルニカ」を鑑賞する授業の冒頭で、生徒の興味を引くための導入トークを5分程度で作成してください。
この絵が描かれた歴史的背景（スペイン内戦）と、絵の中に込められたピカソの反戦のメッセージについて、生徒に問いかける形で、ドラマチックに語りかけるシナリオにしてください。",作品の背景を伝えることで、生徒が表面的に鑑賞するだけでなく、より深く作品を読み解くきっかけを作ります。,"人物,内容,制約,形式や語調",
jhs-bijutsu-02,junior-high,美術,色彩構成のデザイン課題,"あなたは中学校の美術教員です。
「感情を色で表現する」をテーマに、色彩構成のデザイン課題を出します。
「喜び」「悲しみ」「怒り」の3つの感情を、それぞれ15cm四方の画用紙に、色と形だけで表現するという課題設定を作成してください。
使用できる色は「赤・青・黄・白・黒」のみという制約を加えてください。",抽象的なテーマと具体的な制約を設けることで、生徒の創造力と表現力を引き出す課題を作成します。,"人物,内容,制約",
jhs-bijutsu-03,junior-high,美術,自分の作品のコンセプトを説明する文章作成,"あなたは中学校の美術教員です。
生徒が自分の制作した作品（例：風景画）について、コンセプトを説明する文章（150字程度）を書くための指導を行います。
「なぜこの題材を選んだのか」「作品で一番工夫した点はどこか」「何を感じてほしいか」という3つの視点を含めるように、生徒にアドバイスする文章を作成してください。",自分の作品を言語化する練習を通して、生徒の自己評価能力とプレゼンテーション能力を高めます。,"人物,内容,制約",
